INSTITUICAO_ENSINO_ALUNO_2020;NOME;IDADE_ALUNO_2020;ANOS_PM_2020;FASE_TURMA_2020;PONTO_VIRADA_2020;INDE_2020;INDE_CONCEITO_2020;PEDRA_2020;DESTAQUE_IEG_2020;DESTAQUE_IDA_2020;DESTAQUE_IPV_2020;IAA_2020;IEG_2020;IPS_2020;IDA_2020;IPP_2020;IPV_2020;IAN_2020;FASE_2021;TURMA_2021;INSTITUICAO_ENSINO_ALUNO_2021;SINALIZADOR_INGRESSANTE_2021;PEDRA_2021;INDE_2021;IAA_2021;IEG_2021;IPS_2021;IDA_2021;IPP_2021;REC_EQUIPE_1_2021;REC_EQUIPE_2_2021;REC_EQUIPE_3_2021;REC_EQUIPE_4_2021;PONTO_VIRADA_2021;IPV_2021;IAN_2021;NIVEL_IDEAL_2021;DEFASAGEM_2021;FASE_2022;TURMA_2022;ANO_INGRESSO_2022;BOLSISTA_2022;INDE_2022;CG_2022;CF_2022;CT_2022;PEDRA_2022;DESTAQUE_IEG_2022;DESTAQUE_IDA_2022;DESTAQUE_IPV_2022;IAA_2022;IEG_2022;IPS_2022;IDA_2022;NOTA_PORT_2022;NOTA_MAT_2022;NOTA_ING_2022;QTD_AVAL_2022;IPP_2022;REC_AVA_1_2022;REC_AVA_2_2022;REC_AVA_3_2022;REC_AVA_4_2022;INDICADO_BOLSA_2022;PONTO_VIRADA_2022;IPV_2022;IAN_2022;NIVEL_IDEAL_2022
;ALUNO-1269;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;L;20220;Não;8;110;15;4;Topázio;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9;10;8;9;9;9;;3;7;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;;Não;Não;8;5;Fase 3 (7º e 8º ano)
;ALUNO-127;;;;;;;;;;;;;;;;;;1;A;Escola Pública;Ingressante;Ametista;7;10;7;8;6;8;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7;5;Nível 2 (5o e 6o ano);-1;1;A;20210;Não;7;532;134;10;Ágata;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;10;8;8;6;4;7;;3;6;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;;Não;Não;7;5;Fase 2 (5º e 6º ano)
Escola Pública;ALUNO-1270;10;1;2E;Não;7;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9;6;8;6;8;8;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ALUNO-1271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;F;20220;Não;7;343;39;8;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9;8;8;5;4;6;6;4;8;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Não;Não;7;10;Fase 3 (7º e 8º ano)
;ALUNO-1272;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;Y;20220;Não;8;303;86;5;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9;8;8;8;8;9;;2;3;Promovido de Fase;Mantido na Fase atual;;;Não;Não;7;10;ALFA  (2º e 3º ano)
;ALUNO-1273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;D;20220;Não;8;49;11;2;Topázio;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;10;9;8;8;8;8;;2;6;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;8;10;ALFA  (2º e 3º ano)
Escola Pública;ALUNO-1274;15;1;4A;Sim;8;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9;8;8;7;9;9;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escola Pública;ALUNO-1275;9;1;1G;Não;9;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;10;8;8;10;7;8;10;1;G;Escola Pública;Veterano;Topázio;8;10;10;8;8;8;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;Sim;10;5;Nível 2 (5o e 6o ano);-1;2;F;20190;Não;8;194;32;4;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9;9;8;5;3;8;;3;7;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;;Não;Não;8;10;Fase 2 (5º e 6º ano)
;ALUNO-1276;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;B;20220;Não;6;741;135;11;Quartzo;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9;9;8;2;0;3;;3;5;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;;Não;Não;6;5;Fase 3 (7º e 8º ano)
Escola Pública;ALUNO-1277;13;3;3E;Sim;8;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7;6;5;8;9;9;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escola Pública;ALUNO-1278;9;1;0H;Não;7;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9;10;8;10;2;5;5;0;P;Escola Pública;Veterano;Ágata;6;8;4;8;5;6;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não avaliado;Não;6;5;Nível 2 (5o e 6o ano);-2;1;L;20190;Não;7;557;137;11;Ágata;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9;8;8;6;6;6;;3;6;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;;Não;Não;7;5;Fase 2 (5º e 6º ano)
;ALUNO-1279;;;;;;;;;;;;;;;;;;5;L;Escola Pública;Ingressante;Quartzo;5;8;2;0;4;7;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não;5;10;Nível 5 (1o EM);0;5;K;20210;Não;7;383;24;5;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;10;8;8;6;8;6;5;4;8;Promovido de Fase + Bolsa;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase + Bolsa;Sim;Não;8;5;Fase 6 (2º EM)
Escola Pública;ALUNO-128;9;1;0G;Não;6;D;Quartzo;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7;10;6;6;2;4;5;0;I;Escola Pública;Veterano;Quartzo;5;8;7;4;4;2;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;6;5;Nível 2 (5o e 6o ano);-2;0;O;20190;Não;7;485;137;11;Ágata;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9;9;6;6;6;6;;2;5;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;7;5;Fase 2 (5º e 6º ano)
;ALUNO-1280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;S;20220;Não;8;223;59;3;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;10;8;8;7;8;6;;2;5;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;7;10;ALFA  (2º e 3º ano)
Escola Pública;ALUNO-1281;16;2;7A;Sim;8;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8;9;8;7;8;9;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rede Decisão/União;ALUNO-1282;7;0;0A;Não;6;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8;9;2;8;2;3;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ALUNO-1283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;J;20220;Não;8;253;70;3;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;8;9;6;7;8;7;;2;6;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;7;10;ALFA  (2º e 3º ano)
Escola Pública;ALUNO-1284;16;0;5A;Não;7;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9;9;8;4;8;7;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escola Pública;ALUNO-1285;8;0;0H;Não;9;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9;10;8;9;8;7;10;1;J;Escola Pública;Veterano;Topázio;8;9;10;8;6;8;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;Sim;9;10;Nível 1 (4o ano);0;1;M;20200;Não;7;337;89;7;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;10;8;8;8;7;8;;3;6;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;;Não;Não;8;5;Fase 2 (5º e 6º ano)
;ALUNO-1286;;;;;;;;;;;;;;;;;;0;K;Escola Pública;Ingressante;Ametista;8;10;8;8;6;8;Mantido na Fase atual;Mantido na Fase + Bolsa;Não avaliado;Não avaliado;Não;8;10;ALFA  (2o e 3o ano);0;0;N;20210;Não;7;487;138;5;Ágata;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;10;6;8;6;5;7;;2;6;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;7;10;ALFA  (2º e 3º ano)
Escola Pública;ALUNO-1287;10;0;0A;Não;7;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9;10;8;8;2;6;5;0;J;Escola Pública;Veterano;Ametista;8;8;10;8;5;8;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não avaliado;Não;8;5;Nível 2 (5o e 6o ano);-2;1;D;20200;Não;7;643;156;12;Ágata;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9;9;5;5;3;7;;3;5;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;;Não;Não;7;5;Fase 3 (7º e 8º ano)
Rede Decisão/União;ALUNO-1288;16;4;6B;Não;7;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;0;8;8;6;7;7;10;7;A;Rede Decisão;Veterano;Ágata;7;9;7;6;6;7;Mantido na Fase atual;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Não;5;10;Nível 7 (3o EM);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escola Pública;ALUNO-1289;12;0;2L;Não;6;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9;7;8;3;7;7;5;2;L;Escola Pública;Veterano;Ágata;7;8;8;8;5;8;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7;5;Nível 3 (7o e 8o ano);-1;3;K;20200;Não;7;448;54;9;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;10;9;8;6;4;6;7;4;7;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Não;Não;7;5;Fase 4 (9º ano)
;ALUNO-129;;;;;;;;;;;;;;;;;;2;H;Escola Pública;Ingressante;Ágata;6;7;4;8;5;7;Mantido na Fase atual;Não avaliado;Mantido na Fase atual;Não avaliado;Não;4;10;Nível 2 (5o e 6o ano);0;2;I;20210;Não;7;428;62;3;Ametista;Melhorar: Melhorar a sua entrega de lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9;7;6;8;9;8;;3;7;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;;Sim;Não;8;5;Fase 3 (7º e 8º ano)
FIAP;ALUNO-1290;18;2;8A;;7;C;Ágata;Ponto a melhorar em 2021: Melhorar o seu engajamento nas ações de voluntariado.;Seu destaque em 2020: As suas boas notas na Faculdade.;;8;0;9;9;0;0;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escola Pública;ALUNO-1291;9;0;1K;Não;8;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7;7;8;10;7;8;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escola Pública;ALUNO-1292;11;1;2P;Não;9;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;10;9;8;9;9;8;10;3;A;Rede Decisão;Veterano;Topázio;9;10;10;8;7;9;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Não avaliado;Não;9;10;Nível 3 (7o e 8o ano);0;3;A;20190;Sim;9;13;2;1;Topázio;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;10;9;9;7;8;7;6;4;9;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;Promovido de Fase + Bolsa;Não;Sim;9;10;Fase 3 (7º e 8º ano)
Escola Pública;ALUNO-1293;12;1;2C;Não;4;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;0;1;8;0;8;8;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escola Pública;ALUNO-1294;16;1;6B;Não;4;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8;3;5;0;6;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ALUNO-1295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;N;20220;Não;7;515;133;7;Ágata;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9;7;8;7;7;7;;3;6;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;;Não;Não;7;5;Fase 3 (7º e 8º ano)
Escola Pública;ALUNO-1296;10;1;1A;Não;7;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9;9;6;6;6;7;5;1;G;Escola Pública;Veterano;Ágata;7;10;9;8;4;8;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7;5;Nível 2 (5o e 6o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escola Pública;ALUNO-1297;18;1;7B;Não;7;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8;8;7;6;8;8;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escola Pública;ALUNO-1298;8;1;0F;Não;9;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;10;10;8;9;8;7;10;0;O;Escola Pública;Veterano;Ametista;8;10;8;8;6;8;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;8;5;Nível 1 (4o ano);-1;1;J;20190;Não;7;585;143;12;Ágata;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;8;8;8;5;4;5;;3;6;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;;Não;Não;7;5;Fase 2 (5º e 6º ano)
Rede Decisão/União;ALUNO-1299;14;3;6A;Não;8;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8;8;8;5;8;9;10;7;A;Rede Decisão;Veterano;Ametista;8;7;8;8;7;8;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Não;8;10;Nível 7 (3o EM);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ALUNO-13;;;;;;;;;;;;;;;;;;0;T;Escola Pública;Ingressante;Quartzo;3;8;0;8;1;0;Não avaliado;Não avaliado;Não avaliado;Não avaliado;Não;6;5;Nível 1 (4o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ALUNO-130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;C;20220;Não;8;72;19;1;Topázio;Melhorar: Melhorar a sua entrega de lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;10;7;8;9;9;10;;2;6;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;8;10;ALFA  (2º e 3º ano)
;ALUNO-1300;;;;;;;;;;;;;;;;;;1;J;Escola Pública;Ingressante;Ametista;7;9;9;8;5;8;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;8;5;Nível 2 (5o e 6o ano);-1;1;P;20210;Não;8;195;45;1;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;10;8;8;9;10;8;;3;6;Promovido de Fase + Bolsa;Promovido de Fase;Mantido na Fase atual;;Sim;Não;8;5;Fase 2 (5º e 6º ano)
;ALUNO-1301;;;;;;;;;;;;;;;;;;3;D;Escola Pública;Ingressante;Ametista;8;10;8;8;6;8;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;9;10;Nível 3 (7o e 8o ano);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escola Pública;ALUNO-1302;11;1;1R;Não;4;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8;1;8;0;7;7;5;1;R;Escola Pública;Veterano;Quartzo;4;0;3;8;1;7;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;5;5;Nível 3 (7o e 8o ano);-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escola Pública;ALUNO-1303;13;4;2H;Não;6;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9;8;4;3;5;8;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ALUNO-1304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;A;20220;Não;7;445;28;4;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8;8;8;8;6;7;10;3;6;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;;Não;Não;8;2;Fase 8 (Universitários)
;ALUNO-1305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;F;20220;Não;5;801;186;10;Quartzo;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;10;4;8;2;2;2;;2;5;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;7;5;Fase 2 (5º e 6º ano)
;ALUNO-1306;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;A;20220;Não;6;738;66;13;Quartzo;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;8;6;8;5;6;4;;4;5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Alocado em Fase anterior;Não;Não;5;5;Fase 6 (2º EM)
;ALUNO-1307;;;;;;;;;;;;;;;;;;2;B;Escola Pública;Ingressante;Ametista;7;7;7;8;5;8;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7;10;Nível 2 (5o e 6o ano);0;2;B;20210;Não;6;770;143;13;Quartzo;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;10;8;8;4;2;5;;3;4;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;;Não;Não;4;5;Fase 3 (7º e 8º ano)
;ALUNO-1308;;;;;;;;;;;;;;;;;;3;D;Escola Pública;Ingressante;Quartzo;5;7;3;2;2;8;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;8;5;Nível 4 (9o ano);-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escola Pública;ALUNO-1309;17;1;7A;Não;8;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8;8;8;7;8;8;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ALUNO-131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;A;20220;Não;7;347;40;9;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;8;9;4;7;6;8;;4;7;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não;Não;7;10;Fase 3 (7º e 8º ano)
;ALUNO-1310;;;;;;;;;;;;;;;;;;3;A;Escola Pública;Ingressante;Ágata;7;9;5;8;4;8;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;7;10;Nível 3 (7o e 8o ano);0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ALUNO-1311;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;E;20220;Não;7;559;73;2;Ágata;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;8;7;8;6;7;6;;4;7;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não;Não;6;5;Fase 4 (9º ano)
;ALUNO-1312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;L;20220;Não;5;831;132;8;Quartzo;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9;3;8;2;2;4;1;4;5;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não;Não;3;10;Fase 3 (7º e 8º ano)
Escola Pública;ALUNO-1313;14;0;3H;Não;5;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8;5;5;2;8;6;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ALUNO-1314;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;C;20220;Não;5;832;133;6;Quartzo;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;0;6;8;4;5;4;;4;5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Alocado em Fase anterior;Não;Não;5;5;Fase 5 (1º EM)
